channel,campaign,metric,previous_week_start,previous_week_end,current_week_start,current_week_end,previous_value,current_value,change,change_rate,previous_days,current_days,comparison_status,exclusion_reason,period_warning
naver_gfa,GFA-재방문 리타겟팅,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,2180,2741,561,0.257339,7,7,comparable,,
naver_gfa,GFA-재방문 리타겟팅,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,69,116,47,0.681159,7,7,comparable,,
naver_gfa,GFA-재방문 리타겟팅,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: revenue 7행 | 금주 필수 값 결측: revenue 7행,
naver_gfa,GFA-재방문 리타겟팅,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,14312.75,10250.86,-4061.89,-0.283795,7,7,comparable,,
naver_gfa,GFA-재방문 리타겟팅,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: revenue 7행 | 금주 계산 제외: 필수 값 결측: revenue 7행,
naver_gfa,GFA-재방문 리타겟팅,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,0.031651,0.042320,0.010669,0.337083,7,7,comparable,,
naver_search,NSA_브랜드 인지,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,623600,974900,351300,0.563342,7,7,comparable,,
naver_search,NSA_브랜드 인지,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,37546,50812,13266,0.353327,7,7,comparable,,
naver_search,NSA_브랜드 인지,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,2106,1980,-126,-0.059829,7,7,comparable,,
naver_search,NSA_브랜드 인지,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,73,78,5,0.068493,7,7,comparable,,
naver_search,NSA_브랜드 인지,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,48270000,44320000,-3950000,-0.081831,7,7,comparable,,
naver_search,NSA_브랜드 인지,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,8542.47,12498.72,3956.25,0.463127,7,7,comparable,,
naver_search,NSA_브랜드 인지,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,77.405388,45.461073,-31.944315,-0.412689,7,7,comparable,,
naver_search,NSA_브랜드 인지,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,0.034663,0.039394,0.004731,0.136486,7,7,comparable,,
naver_search,NSA_여름 크루즈 프로모션,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,876500,996600,120100,0.137022,7,7,comparable,,
naver_search,NSA_여름 크루즈 프로모션,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,49677,56888,7211,0.145158,7,7,comparable,,
naver_search,NSA_여름 크루즈 프로모션,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,1892,2787,895,0.473044,7,7,comparable,,
naver_search,NSA_여름 크루즈 프로모션,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,69,114,45,0.652174,7,7,comparable,,
naver_search,NSA_여름 크루즈 프로모션,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,43010000,60560000,17550000,0.408045,7,7,comparable,,
naver_search,NSA_여름 크루즈 프로모션,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,12702.90,8742.11,-3960.79,-0.311802,7,7,comparable,,
naver_search,NSA_여름 크루즈 프로모션,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,49.070165,60.766606,11.696441,0.238362,7,7,comparable,,
naver_search,NSA_여름 크루즈 프로모션,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,0.036469,0.040904,0.004435,0.121610,7,7,comparable,,
